Date,Glucose
2019-01-28,131
2019-01-29,116
2019-01-30,158
2019-01-31,127
2019-02-01,96
2019-02-02,131
2019-02-03,82
2019-02-04,193
2019-02-05,95
2019-02-06,137
2019-02-07,136
2019-02-08,72
2019-02-09,168
2019-02-10,123
2019-02-11,115
2019-02-12,101
2019-02-13,197
2019-02-14,172
2019-02-15,102
2019-02-16,112
2019-02-17,143
2019-02-18,143
2019-02-19,138
2019-02-20,173
2019-02-21,97
2019-02-22,144
2019-02-23,83
2019-02-24,129
2019-02-25,119
2019-02-26,94
2019-02-27,102
2019-02-28,115
2019-03-01,151
2019-03-02,184
2019-03-03,94
2019-03-04,181
2019-03-05,135
2019-03-06,95
2019-03-07,99
2019-03-08,89
2019-03-09,80
2019-03-10,139
2019-03-11,90
2019-03-12,141
2019-03-13,140
2019-03-14,147
2019-03-15,97
2019-03-16,107
2019-03-17,189
2019-03-18,83
2019-03-19,117
2019-03-20,108
2019-03-21,117
2019-03-22,180
2019-03-23,100
2019-03-24,95
2019-03-25,104
2019-03-26,120
2019-03-27,82
2019-03-28,134
2019-03-29,91
2019-03-30,119
2019-03-31,100
2019-04-01,175
2019-04-02,135
2019-04-03,86
2019-04-04,148
2019-04-05,134
2019-04-06,120
2019-04-07,71
2019-04-08,74
2019-04-09,88
2019-04-10,115
2019-04-11,124
2019-04-12,74
2019-04-13,97
2019-04-14,120
2019-04-15,154
2019-04-16,144
2019-04-17,137
2019-04-18,119
2019-04-19,136
2019-04-20,114
2019-04-21,137
2019-04-22,105
2019-04-23,114
2019-04-24,126
2019-04-25,132
2019-04-26,158
2019-04-27,123
2019-04-28,85
2019-04-29,84
2019-04-30,145
2019-05-01,135
2019-05-02,139
2019-05-03,173
2019-05-04,99
2019-05-05,194
2019-05-06,83
2019-05-07,89
2019-05-08,99
2019-05-09,125
2019-05-10,80
2019-05-11,166
2019-05-12,110
2019-05-13,81
2019-05-14,195
2019-05-15,154
2019-05-16,117
2019-05-17,84
2019-05-18,0
2019-05-19,94
2019-05-20,96
2019-05-21,75
2019-05-22,180
2019-05-23,130
2019-05-24,84
2019-05-25,120
2019-05-26,84
2019-05-27,139
2019-05-28,91
2019-05-29,91
2019-05-30,99
2019-05-31,163
2019-06-01,145
2019-06-02,125
2019-06-03,76
2019-06-04,129
2019-06-05,68
2019-06-06,124
2019-06-07,114
2019-06-08,130
2019-06-09,125
2019-06-10,87
2019-06-11,97
2019-06-12,116
2019-06-13,117
2019-06-14,111
2019-06-15,122
2019-06-16,107
2019-06-17,86
2019-06-18,91
2019-06-19,77
2019-06-20,132
2019-06-21,105
2019-06-22,57
2019-06-23,127
2019-06-24,129
2019-06-25,100
2019-06-26,128
2019-06-27,90
2019-06-28,84
2019-06-29,88
2019-06-30,186
2019-07-01,187
2019-07-02,131
2019-07-03,164
2019-07-04,189
2019-07-05,116
2019-07-06,84
2019-07-07,114
2019-07-08,88
2019-07-09,84
2019-07-10,124
2019-07-11,97
2019-07-12,110
2019-07-13,103
2019-07-14,85
2019-07-15,125
2019-07-16,198
2019-07-17,87
2019-07-18,99
2019-07-19,91
2019-07-20,95
2019-07-21,99
2019-07-22,92
2019-07-23,154
2019-07-24,121
2019-07-25,78
2019-07-26,130
2019-07-27,111
2019-07-28,98
2019-07-29,143
2019-07-30,119
2019-07-31,108
2019-08-01,118
2019-08-02,133
2019-08-03,197
2019-08-04,151
2019-08-05,109
2019-08-06,121
2019-08-07,100
2019-08-08,124
2019-08-09,93
2019-08-10,143
2019-08-11,103
2019-08-12,176
2019-08-13,73
2019-08-14,111
2019-08-15,112
2019-08-16,132
2019-08-17,82
2019-08-18,123
2019-08-19,188
2019-08-20,67
2019-08-21,89
2019-08-22,173
2019-08-23,109
2019-08-24,108
2019-08-25,96
2019-08-26,124
2019-08-27,150
2019-08-28,183
2019-08-29,124
2019-08-30,181
2019-08-31,92
2019-09-01,152
2019-09-02,111
2019-09-03,106
2019-09-04,174
2019-09-05,168
2019-09-06,105
2019-09-07,138
2019-09-08,106
2019-09-09,117
2019-09-10,68
2019-09-11,112
2019-09-12,119
2019-09-13,112
2019-09-14,92
2019-09-15,183
2019-09-16,94
2019-09-17,108
2019-09-18,90
2019-09-19,125
2019-09-20,132
2019-09-21,128
2019-09-22,94
2019-09-23,114
2019-09-24,102
2019-09-25,111
2019-09-26,128
2019-09-27,92
2019-09-28,104
2019-09-29,104
2019-09-30,94
2019-10-01,97
2019-10-02,100
2019-10-03,102
2019-10-04,128
2019-10-05,147
2019-10-06,90
2019-10-07,103
2019-10-08,157
2019-10-09,167
2019-10-10,179
2019-10-11,136
2019-10-12,107
2019-10-13,91
2019-10-14,117
2019-10-15,123
2019-10-16,120
2019-10-17,106
2019-10-18,155
2019-10-19,101
2019-10-20,120
2019-10-21,127
2019-10-22,80
2019-10-23,162
2019-10-24,199
2019-10-25,167
2019-10-26,145
2019-10-27,115
2019-10-28,112
2019-10-29,145
2019-10-30,111
2019-10-31,98
2019-11-01,154
2019-11-02,165
2019-11-03,99
2019-11-04,68
2019-11-05,123
2019-11-06,91
2019-11-07,195
2019-11-08,156
2019-11-09,93
2019-11-10,121
2019-11-11,101
2019-11-12,56
2019-11-13,162
2019-11-14,95
2019-11-15,125
2019-11-16,136
2019-11-17,129
2019-11-18,130
2019-11-19,107
2019-11-20,140
2019-11-21,144
2019-11-22,107
2019-11-23,158
2019-11-24,121
2019-11-25,129
2019-11-26,90
2019-11-27,142
2019-11-28,169
2019-11-29,99
2019-11-30,127
2019-12-01,118
2019-12-02,122
2019-12-03,125
2019-12-04,168
2019-12-05,129
2019-12-06,110
2019-12-07,80
2019-12-08,115
2019-12-09,127
2019-12-10,164
2019-12-11,93
2019-12-12,158
2019-12-13,126
2019-12-14,129
2019-12-15,134
2019-12-16,102
2019-12-17,187
2019-12-18,173
2019-12-19,94
2019-12-20,108
2019-12-21,97
2019-12-22,83
2019-12-23,114
2019-12-24,149
2019-12-25,117
2019-12-26,111
2019-12-27,112
2019-12-28,116
2019-12-29,141
2019-12-30,175
2019-12-31,92
2020-01-01,130
2020-01-02,120
2020-01-03,174
2020-01-04,106
2020-01-05,105
2020-01-06,95
2020-01-07,126
2020-01-08,65
2020-01-09,99
2020-01-10,102
2020-01-11,120
2020-01-12,102
2020-01-13,109
2020-01-14,140
2020-01-15,153
2020-01-16,100
2020-01-17,147
2020-01-18,81
2020-01-19,187
2020-01-20,162
2020-01-21,136
2020-01-22,121
2020-01-23,108
2020-01-24,181
2020-01-25,154
2020-01-26,128
2020-01-27,137
2020-01-28,123
2020-01-29,106
2020-01-30,190
2020-01-31,88
2020-02-01,170
2020-02-02,89
2020-02-03,101
2020-02-04,122
2020-02-05,121
2020-02-06,126
2020-02-07,93
