App,Category,Rating,Reviews,Size_MB,Installs,Type,Price,Content_Rating
App_41,MEDICAL,5.0,146981,88.5,1000000,Free,0.0,Teen
App_42,FAMILY,4.4,7039,71.2,50000,Free,0.0,Everyone
App_43,TOOLS,3.8,40488,18.1,500000,Free,0.0,Everyone
App_44,ART_AND_DESIGN,3.3,119493,10.1,5000,Free,0.0,Teen
App_45,LIFESTYLE,4.3,138962,19.2,1000,Free,0.0,Everyone
App_46,EDUCATION,3.9,100665,98.0,1000,Free,0.0,Everyone
App_47,LIFESTYLE,4.0,172145,46.4,10000,Paid,0.0,Everyone
App_48,FAMILY,4.0,183788,78.6,1000000,Free,0.0,Everyone
App_49,MEDICAL,4.1,26429,64.0,1000,Free,0.0,Everyone
App_50,MEDICAL,4.6,190502,57.7,10000,Free,0.0,Everyone
App_51,GAME,4.3,122879,15.4,1000,Free,0.0,Everyone
App_52,TOOLS,4.1,127247,94.7,1000000,Free,8.4,Everyone
App_53,EDUCATION,3.8,19028,30.8,100000,Free,2.5,Everyone
App_54,EDUCATION,3.5,124378,58.2,500000,Paid,0.0,Everyone
App_55,ART_AND_DESIGN,4.0,145145,70.3,100000,Free,0.0,Everyone
App_56,EDUCATION,4.2,116162,65.3,100000,Free,0.0,Everyone
App_57,GAME,,16907,94.1,500000,Free,0.0,Everyone
App_58,MEDICAL,4.3,104650,15.7,1000,Free,0.0,Everyone
App_59,FAMILY,4.6,187188,51.3,1000000,Free,0.0,Everyone
App_60,LIFESTYLE,4.0,144686,41.0,500000,Free,0.0,Everyone
App_61,MEDICAL,3.7,27490,47.9,500000,Free,7.63,Mature 17+
App_62,TOOLS,3.8,191988,12.8,10000,Free,3.31,Everyone
App_63,LIFESTYLE,3.9,191776,14.3,500000,Free,0.0,Teen
App_64,TOOLS,5.0,33887,28.5,10000,Free,0.0,Mature 17+
App_65,TOOLS,3.9,160178,31.2,1000,Paid,0.0,Everyone
App_66,LIFESTYLE,4.5,81349,43.4,1000000,Free,0.0,Everyone
App_67,TOOLS,3.8,118740,61.5,5000,Free,0.0,Teen
App_68,ART_AND_DESIGN,4.6,89042,63.8,1000,Free,0.0,Everyone
App_69,EDUCATION,4.4,156526,41.8,100000,Paid,0.0,Everyone
App_70,MEDICAL,4.1,199332,41.5,5000,Free,0.0,Everyone
App_71,GAME,4.2,159025,22.5,1000000,Paid,0.0,Everyone
App_72,EDUCATION,3.9,186274,59.2,50000,Free,0.0,Everyone
App_73,ART_AND_DESIGN,4.4,189205,32.4,1000,Free,0.0,Mature 17+
App_74,FAMILY,4.0,18030,4.6,1000000,Paid,0.0,Mature 17+
App_75,EDUCATION,3.7,50684,42.4,50000,Free,0.0,Everyone
App_76,TOOLS,3.7,144374,47.9,5000,Free,0.0,Teen
App_77,GAME,4.3,118019,23.3,100000,Free,9.9,Everyone
App_78,EDUCATION,4.8,10038,57.7,50000,Free,0.0,Mature 17+
App_79,FAMILY,4.3,19018,57.0,1000,Free,0.0,Everyone
App_80,LIFESTYLE,4.2,104114,70.5,500000,Free,0.0,Mature 17+
App_81,EDUCATION,4.3,123236,65.1,10000,Free,0.0,Teen
App_82,GAME,4.7,33552,65.6,100000,Free,0.0,Everyone
App_83,MEDICAL,4.3,34266,32.3,1000000,Free,0.0,Everyone
App_84,FAMILY,4.0,25876,79.0,100000,Free,0.0,Teen
App_85,FAMILY,4.6,112994,55.4,100000,Free,0.0,Everyone
App_86,ART_AND_DESIGN,4.4,1580,43.7,5000,Free,0.0,Everyone
App_87,TOOLS,4.8,114490,63.0,5000,Free,6.89,Mature 17+
App_88,MEDICAL,4.3,95190,36.7,10000,Free,0.0,Everyone
App_89,MEDICAL,3.7,93202,51.8,500000,Free,0.0,Everyone
App_90,EDUCATION,3.7,135858,73.9,50000,Free,6.09,Everyone
App_91,MEDICAL,4.9,104531,88.8,10000,Free,0.0,Everyone
App_92,MEDICAL,4.9,145552,92.2,500000,Paid,8.45,Mature 17+
App_93,TOOLS,4.1,152787,50.9,500000,Free,0.0,Everyone
App_94,LIFESTYLE,4.0,184024,52.5,1000000,Free,0.0,Everyone
App_95,TOOLS,4.8,159850,80.2,10000,Free,0.0,Everyone
App_96,GAME,3.8,103546,32.1,100000,Free,0.0,Mature 17+
App_97,FAMILY,3.8,98435,83.9,100000,Free,0.0,Everyone
App_98,FAMILY,4.5,47149,49.9,50000,Free,0.0,Teen
App_99,ART_AND_DESIGN,4.0,119922,12.5,10000,Paid,0.0,Teen
App_100,MEDICAL,4.2,27835,8.1,1000,Free,0.0,Teen
App_101,GAME,4.1,186247,84.4,5000,Free,0.0,Mature 17+
App_102,MEDICAL,4.3,169010,6.5,50000,Paid,0.0,Teen
App_103,ART_AND_DESIGN,4.8,23955,28.8,1000000,Free,0.0,Mature 17+
App_104,MEDICAL,4.2,157193,34.1,1000000,Free,0.0,Everyone
App_105,MEDICAL,4.5,23429,18.1,5000,Paid,0.0,Teen
App_106,MEDICAL,,144247,32.1,100000,Paid,0.0,Everyone
App_107,FAMILY,4.2,17550,74.5,1000,Free,0.0,Everyone
App_108,EDUCATION,3.9,97643,2.5,100000,Free,7.08,Teen
App_109,FAMILY,,131576,82.9,10000,Free,0.0,Mature 17+
App_110,GAME,3.8,145764,85.8,50000,Free,0.0,Teen
App_111,MEDICAL,4.1,83727,37.9,500000,Free,0.0,Everyone
App_112,EDUCATION,4.6,184325,16.2,10000,Free,0.0,Everyone
App_113,EDUCATION,3.7,154866,60.5,500000,Free,0.0,Everyone
App_114,EDUCATION,4.2,41660,12.8,50000,Free,0.0,Everyone
App_115,EDUCATION,4.0,134249,37.1,1000000,Free,0.0,Everyone
App_116,ART_AND_DESIGN,4.1,146109,95.9,100000,Free,0.0,Everyone
App_117,ART_AND_DESIGN,4.6,66734,99.6,10000,Free,0.0,Everyone
App_118,GAME,4.4,147648,77.4,500000,Paid,0.0,Teen
App_119,ART_AND_DESIGN,4.7,179674,31.8,10000,Free,0.0,Everyone
App_120,EDUCATION,4.1,163424,69.1,50000,Free,0.0,Mature 17+
App_121,FAMILY,3.9,152508,70.8,1000,Free,0.0,Everyone
App_122,FAMILY,4.1,126903,39.4,1000,Free,0.0,Everyone
App_123,EDUCATION,4.3,54114,64.4,100000,Free,0.0,Everyone
App_124,MEDICAL,4.3,159046,2.1,5000,Free,0.0,Everyone
App_125,EDUCATION,3.8,72844,21.7,1000000,Free,0.0,Mature 17+
App_126,ART_AND_DESIGN,4.2,106444,53.0,500000,Free,0.0,Everyone
App_127,MEDICAL,4.3,62894,17.2,100000,Paid,0.0,Everyone
App_128,FAMILY,5.0,62610,17.4,500000,Free,0.0,Mature 17+
App_129,FAMILY,5.0,31530,83.8,100000,Free,2.2,Mature 17+
App_130,EDUCATION,3.9,192259,98.9,1000,Free,8.73,Everyone
App_131,EDUCATION,4.1,29565,56.0,10000,Free,0.0,Everyone
App_132,ART_AND_DESIGN,3.6,17260,84.1,50000,Free,0.0,Everyone
App_133,EDUCATION,4.0,187226,99.0,1000000,Free,0.0,Everyone
App_134,MEDICAL,4.3,111007,15.0,5000,Free,4.21,Everyone
App_135,TOOLS,4.7,87586,45.4,50000,Paid,0.0,Everyone
App_136,FAMILY,3.9,147500,39.9,10000,Free,0.0,Mature 17+
App_137,ART_AND_DESIGN,3.9,76670,8.9,1000,Free,0.0,Everyone
App_138,TOOLS,3.3,25593,75.8,1000,Free,0.0,Everyone
App_139,EDUCATION,4.1,145939,43.9,10000,Paid,0.0,Everyone
App_140,LIFESTYLE,3.8,35208,47.5,1000,Free,0.0,Teen
App_141,GAME,4.0,110603,15.9,1000,Free,1.96,Everyone
App_142,GAME,3.8,189813,18.9,10000,Paid,0.0,Teen
App_143,TOOLS,4.2,187228,90.8,5000,Paid,6.57,Mature 17+
App_144,LIFESTYLE,3.5,72162,5.4,50000,Free,0.0,Everyone
App_145,MEDICAL,3.6,156062,24.1,1000,Free,0.0,Everyone
App_146,ART_AND_DESIGN,5.0,122539,29.9,10000,Free,0.0,Everyone
App_147,GAME,3.7,95879,49.5,50000,Paid,0.0,Everyone
App_148,MEDICAL,3.8,27994,59.1,1000000,Free,0.0,Mature 17+
App_149,ART_AND_DESIGN,,75278,49.8,100000,Free,0.0,Everyone
App_150,MEDICAL,5.0,130387,9.3,1000000,Free,0.0,Teen
App_151,GAME,3.7,197326,25.1,10000,Free,0.0,Everyone
App_152,LIFESTYLE,4.1,988,84.5,50000,Free,0.0,Everyone
App_153,TOOLS,4.3,143554,64.1,10000,Free,0.0,Everyone
App_154,EDUCATION,4.9,169268,65.3,1000000,Free,0.0,Everyone
App_155,FAMILY,3.8,190239,67.4,1000000,Paid,0.0,Everyone
App_156,ART_AND_DESIGN,4.1,84766,76.5,1000000,Paid,0.0,Everyone
App_157,EDUCATION,4.5,23704,6.8,500000,Free,0.0,Everyone
App_158,EDUCATION,4.4,54200,37.3,50000,Free,5.48,Teen
App_159,MEDICAL,4.0,170108,54.4,50000,Free,0.0,Everyone
App_160,LIFESTYLE,4.1,175588,34.5,1000000,Free,0.0,Mature 17+
App_161,FAMILY,3.7,127418,84.6,5000,Free,0.0,Everyone
App_162,TOOLS,4.1,24556,48.8,10000,Paid,0.0,Everyone
App_163,TOOLS,4.1,24393,77.1,1000000,Free,0.0,Everyone
App_164,TOOLS,4.3,95639,85.3,10000,Free,0.0,Everyone
App_165,MEDICAL,4.0,117655,51.0,5000,Paid,0.0,Everyone
App_166,TOOLS,4.4,6485,91.0,50000,Free,0.0,Everyone
App_167,GAME,4.6,137222,59.1,10000,Free,0.0,Mature 17+
App_168,TOOLS,4.3,108906,85.2,1000000,Free,0.0,Everyone
App_169,ART_AND_DESIGN,4.3,2470,34.7,1000000,Free,0.0,Everyone
App_170,ART_AND_DESIGN,4.2,19144,50.4,10000,Free,0.0,Everyone
App_171,ART_AND_DESIGN,4.2,90869,53.6,50000,Free,0.0,Everyone
App_172,MEDICAL,3.9,144519,11.4,1000000,Paid,0.0,Everyone
App_173,MEDICAL,4.3,165081,40.5,500000,Free,0.0,Everyone
App_174,FAMILY,4.2,86266,91.8,5000,Free,0.0,Everyone
App_175,EDUCATION,5.0,59078,63.5,100000,Free,0.0,Everyone
App_176,MEDICAL,4.8,193662,18.6,100000,Free,0.0,Mature 17+
App_177,GAME,4.4,91715,34.5,100000,Free,0.0,Everyone
App_178,LIFESTYLE,3.9,63084,20.0,1000,Free,0.0,Teen
App_179,EDUCATION,3.8,88468,3.5,10000,Free,0.0,Everyone
App_180,LIFESTYLE,4.7,2428,92.8,500000,Free,0.0,Everyone
App_181,GAME,4.3,60392,45.4,5000,Paid,0.0,Teen
App_182,EDUCATION,4.4,103115,31.4,10000,Free,0.0,Everyone
App_183,FAMILY,3.5,183689,60.2,10000,Free,0.0,Teen
App_184,EDUCATION,4.6,147647,1.7,5000,Free,0.0,Everyone
App_185,EDUCATION,4.4,156260,28.5,5000,Paid,0.0,Everyone
App_186,GAME,3.8,108984,70.6,10000,Free,0.0,Teen
App_187,TOOLS,4.0,22126,63.7,1000000,Free,0.0,Everyone
App_188,GAME,4.3,78191,98.2,1000,Free,0.0,Everyone
App_189,TOOLS,4.2,199406,62.4,5000,Free,0.0,Everyone
App_190,FAMILY,4.1,8843,48.3,1000,Free,2.92,Everyone
App_191,FAMILY,4.2,175841,76.4,50000,Free,0.0,Mature 17+
App_192,FAMILY,4.1,136902,90.4,5000,Free,0.0,Everyone
App_193,TOOLS,4.3,56788,72.3,500000,Free,0.0,Everyone
App_194,LIFESTYLE,4.8,155599,96.4,100000,Paid,8.43,Teen
App_195,ART_AND_DESIGN,3.2,167380,78.4,500000,Free,0.0,Everyone
App_196,TOOLS,4.1,8653,86.8,100000,Free,6.37,Teen
App_197,ART_AND_DESIGN,4.3,21292,12.3,50000,Free,0.0,Everyone
App_198,TOOLS,4.3,133153,73.5,1000000,Free,0.0,Everyone
App_199,LIFESTYLE,4.1,199820,44.6,50000,Free,0.0,Teen
