App,Category,Rating
App_95,TOOLS,4.8
App_96,GAME,3.8
App_97,FAMILY,3.8
App_98,FAMILY,4.5
App_99,ART_AND_DESIGN,4.0
App_100,MEDICAL,4.2
App_101,GAME,4.1
App_102,MEDICAL,4.3
App_103,ART_AND_DESIGN,4.8
App_104,MEDICAL,4.2
App_105,MEDICAL,4.5
App_106,MEDICAL,4.180612244897959
App_107,FAMILY,4.2
App_108,EDUCATION,3.9
App_109,FAMILY,4.180612244897959
App_110,GAME,3.8
App_111,MEDICAL,4.1
App_112,EDUCATION,4.6
App_113,EDUCATION,3.7
App_114,EDUCATION,4.2
App_115,EDUCATION,4.0
App_116,ART_AND_DESIGN,4.1
App_117,ART_AND_DESIGN,4.6
App_118,GAME,4.4
App_119,ART_AND_DESIGN,4.7
App_120,EDUCATION,4.1
App_121,FAMILY,3.9
App_122,FAMILY,4.1
App_123,EDUCATION,4.3
App_124,MEDICAL,4.3
App_125,EDUCATION,3.8
App_126,ART_AND_DESIGN,4.2
App_127,MEDICAL,4.3
App_128,FAMILY,5.0
App_129,FAMILY,5.0
App_130,EDUCATION,3.9
App_131,EDUCATION,4.1
App_132,ART_AND_DESIGN,3.6
App_133,EDUCATION,4.0
App_134,MEDICAL,4.3
App_135,TOOLS,4.7
App_136,FAMILY,3.9
App_137,ART_AND_DESIGN,3.9
App_138,TOOLS,3.3
App_139,EDUCATION,4.1
App_140,LIFESTYLE,3.8
App_141,GAME,4.0
App_142,GAME,3.8
App_143,TOOLS,4.2
App_144,LIFESTYLE,3.5
App_145,MEDICAL,3.6
App_146,ART_AND_DESIGN,5.0
App_147,GAME,3.7
App_148,MEDICAL,3.8
App_149,ART_AND_DESIGN,4.180612244897959
App_150,MEDICAL,5.0
App_151,GAME,3.7
App_152,LIFESTYLE,4.1
App_153,TOOLS,4.3
App_154,EDUCATION,4.9
App_155,FAMILY,3.8
App_156,ART_AND_DESIGN,4.1
App_157,EDUCATION,4.5
App_158,EDUCATION,4.4
App_159,MEDICAL,4.0
App_160,LIFESTYLE,4.1
App_161,FAMILY,3.7
App_162,TOOLS,4.1
App_163,TOOLS,4.1
App_164,TOOLS,4.3
App_165,MEDICAL,4.0
App_166,TOOLS,4.4
App_167,GAME,4.6
App_168,TOOLS,4.3
App_169,ART_AND_DESIGN,4.3
App_170,ART_AND_DESIGN,4.2
App_171,ART_AND_DESIGN,4.2
App_172,MEDICAL,3.9
App_173,MEDICAL,4.3
App_174,FAMILY,4.2
App_175,EDUCATION,5.0
App_176,MEDICAL,4.8
App_177,GAME,4.4
App_178,LIFESTYLE,3.9
App_179,EDUCATION,3.8
App_180,LIFESTYLE,4.7
App_181,GAME,4.3
App_182,EDUCATION,4.4
App_183,FAMILY,3.5
App_184,EDUCATION,4.6
App_185,EDUCATION,4.4
App_186,GAME,3.8
App_187,TOOLS,4.0
App_188,GAME,4.3
App_189,TOOLS,4.2
App_190,FAMILY,4.1
App_191,FAMILY,4.2
App_192,FAMILY,4.1
App_193,TOOLS,4.3
App_194,LIFESTYLE,4.8
App_195,ART_AND_DESIGN,3.2
App_196,TOOLS,4.1
App_197,ART_AND_DESIGN,4.3
App_198,TOOLS,4.3
App_199,LIFESTYLE,4.1
